company_name,job_title,salary,workplace
西安中软卓越信息技术有限公司,python讲师+六险一金,0.8-1万/月,西安-碑林区
西安中软卓越信息技术有限公司,python讲师+六险一金,0.9-1.1万/月,西安-碑林区
拓天伟业（北京）金融信息服务有限公司,python后端开发工程师,1.5-2万/月,北京-丰台区
太平洋网络,,,广州
北京天广汇通科技有限公司成都分公司,高级爬虫工程师,1.5-2.5万/月,成都
上海凯京信达科技集团有限公司,网络爬虫工程师,1-2万/月,上海-浦东新区
上海宝尊电子商务有限公司,高级开发工程师（python爬虫）,200元/天,上海-静安区
重庆市瑞德铭科技发展有限公司成都分公司,Python运营开发（腾讯瑞德铭）,0.8-1.5万/月,异地招聘
武汉飞脉科技有限责任公司,python研发工程师,5-10万/年,武汉
上海梦创双杨数据科技股份有限公司,爬虫开发工程师,4-8千/月,成都-武侯区
南派泛娱有限公司,爬虫工程师,,杭州-西湖区
上海阿米特数据系统有限公司,爬虫软件开发工程师,1-1.5万/月,武汉
传智播客教育集团郑州分校,,1-2万/月,郑州
杭州深绘智能科技有限公司,资深爬虫架构师,1.5-3万/月,成都-双流区
厦门艾帝尔斯进出口有限公司,Python开发工程师,1.2-2.2万/月,厦门
易齐盈（重庆）电子商务有限公司,网络爬虫工程师,0.8-1万/月,重庆-南岸区
360金融,爬虫工程师,3-4万/月,上海-浦东新区
东方瑞通（天津）IT培训与服务中心,python专职高级讲师,0.8-1.5万/月,天津-南开区
南京瀚晟同创信息科技有限公司,Python开发工程师,0.7-1.5万/月,南京-雨花台区
深圳英菲项目管理有限公司,Python开发工程师,1.2-2.4万/月,深圳-南山区
浙江房超信息科技有限公司,python 爬虫工程师,6-8千/月,嘉兴
上海卓领通讯技术有限公司,爬虫工程师-西区,1-1.5万/月,上海-静安区
深圳市光速度科技有限公司,Python开发工程师（坂田）,6-9千/月,深圳-龙岗区
重庆江小白酒业有限公司,python工程师,0.7-1.1万/月,重庆-渝北区
湖南网优信息技术有限公司,网站爬虫师,4.5-6千/月,长沙
成都深思科技有限公司,爬虫开发工程师,0.6-1.2万/月,成都-高新区
扬伦信息咨询(上海)有限公司,Python爬虫工程师,0.7-1.5万/月,上海-静安区
广州小鹏汽车科技有限公司,Python爬虫工程师,2-3万/月,北京-海淀区
上海睿翎法律咨询服务有限公司,python高级爬虫工程师,0.9-1.8万/月,上海-青浦区
数云信息技术（上海）有限公司,python开发工程师（爬虫方向）,1.5-2万/月,上海
广州多益网络股份有限公司,Python爬虫研发工程师,1-2万/月,广州-黄埔区
广州龙骐贸易有限公司,Python爬虫工程师,0.8-1.5万/月,广州-白云区
武汉神目信息技术有限公司,Python 高级开发工程师,0.5-1.2万/月,武汉-洪山区
南京泽谷软件有限公司,爬虫开发工程师,0.5-1万/月,南京-江宁区
南京第三极区块链科技有限公司,Python开发工程师,1-1.5万/月,南京-鼓楼区
佛山市平河科技有限公司,Python开发工程师,0.8-1.5万/月,广州
江苏宝和数据股份有限公司,Python工程师,0.9-1.2万/月,南京
福州网乐网络科技有限公司,Python开发工程师,0.8-1.6万/月,福州
传智播客教育集团南京分校,Python就业指导专员,15-20万/年,南京-雨花台区
传智播客教育集团西安分校,Python就业指导专员(J10786)双休、六险一金,8-9千/月,西安
传智播客教育集团修正分校,python助教,10-15万/年,北京-昌平区
北大青鸟武汉宏鹏（鲁广南校区）,python讲师,8-25万/年,武汉-洪山区
广州荔枝网络有限公司,爬虫工程师,0.6-1万/月,广州-越秀区
南京钉子网络科技有限公司,网络爬虫/数据采集 8000-12000,0.8-1万/月,南京-栖霞区
江苏强业金融信息服务有限公司,爬虫开发工程师,1.5-2万/月,南京-栖霞区
深圳市换换优品科技有限公司,爬虫开发工程师,0.9-1.5万/月,深圳-福田区
广州市磐妃日用品有限公司,"高级爬虫工程师（10k-15k,五险一金，双休）",1-1.5万/月,广州-番禺区
一米信息服务（北京）有限公司,高级网络爬虫工程师,2-3万/月,北京-朝阳区
新华书店总店,Python工程师,0.7-1.4万/月,北京-西城区
深圳市达内软件有限公司,大数据/python技术支持老师,0.8-1万/月,深圳
深圳华强聚丰电子科技有限公司,Python开发工程师,1-2万/月,深圳-福田区
北京经世万方信息技术有限公司,Python 爬虫工程师,0.6-1万/月,北京-朝阳区
上海勃池信息技术有限公司,爬虫工程师(Java/Python),1.5-3万/月,上海-静安区
深圳市动车电气股份有限公司,爬虫Python  数据分析、挖掘工程师,1-1.8万/月,深圳-龙岗区
京东商城西南区域分公司,数据分析岗（python爬虫或BI方向）,0.6-1.1万/月,成都-武侯区
西安智推网络科技有限公司,Python研发工程师 爬虫,0.8-1.6万/月,西安
上海兴候信息科技有限公司,爬虫开发工程师,1-1.5万/月,上海
北京众标智能科技有限公司,爬虫开发工程师,1-1.5万/月,上海-徐汇区
上海微缘网络科技有限公司,爬虫开发工程师,0.8-1.2万/月,上海-松江区
重庆市瑞德铭科技发展有限公司成都分公司,Python运营开发（腾讯瑞德铭）,0.8-1.5万/月,异地招聘
广州外宝电子商务有限公司,Python开发工程师,1-1.5万/月,广州-荔湾区
